{'source_ip': '10.0.2.15', 'dest_ip': '74.125.206.188', 'source_port': 32836, 'dest_port': 5228, 'timestamp': 1686053564.0740755, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '74.125.206.188', 'dest_ip': '10.0.2.15', 'source_port': 5228, 'dest_port': 32836, 'timestamp': 1686053564.0744903, 'total_length': 60, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '142.251.37.67', 'source_port': 39468, 'dest_port': 443, 'timestamp': 1686053590.6979535, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '142.251.37.67', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 39468, 'timestamp': 1686053590.6988869, 'total_length': 60, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '142.251.37.67', 'source_port': 39468, 'dest_port': 443, 'timestamp': 1686053590.7711627, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '23.108.108.219', 'source_port': 35188, 'dest_port': 443, 'timestamp': 1686053590.9661317, 'total_length': 74, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': False, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '23.108.108.219', 'source_port': 35196, 'dest_port': 443, 'timestamp': 1686053590.9733975, 'total_length': 74, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': False, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '23.108.108.219', 'source_port': 35204, 'dest_port': 443, 'timestamp': 1686053591.0269825, 'total_length': 74, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': False, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '142.250.185.238', 'source_port': 52716, 'dest_port': 443, 'timestamp': 1686053591.0546591, 'total_length': 74, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': False, 'cache_control': False, 'data': ''}
{'source_ip': '142.250.185.238', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 52716, 'timestamp': 1686053591.1297019, 'total_length': 60, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '142.250.185.238', 'source_port': 52716, 'dest_port': 443, 'timestamp': 1686053591.1298294, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '142.250.185.238', 'source_port': 52716, 'dest_port': 443, 'timestamp': 1686053591.1312761, 'total_length': 571, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '142.250.185.238', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 52716, 'timestamp': 1686053591.1339092, 'total_length': 60, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35188, 'timestamp': 1686053591.1994958, 'total_length': 60, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '23.108.108.219', 'source_port': 35188, 'dest_port': 443, 'timestamp': 1686053591.1996589, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35196, 'timestamp': 1686053591.199496, 'total_length': 60, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
